protein	date	y
NSP4	2021-07-07	0.00
E	2021-07-07	0.00
NS7a	2021-07-07	0.00
NSP5	2021-07-07	0.00
NS7b	2021-07-07	0.00
NSP6	2021-07-07	0.00
NSP7	2021-07-07	0.00
NSP8	2021-07-07	0.50
Spike	2021-07-07	4.00
NSP9	2021-07-07	0.00
NSP10	2021-07-07	0.00
NSP11	2021-07-07	0.00
NSP12	2021-07-07	1.00
M	2021-07-07	0.00
NSP13	2021-07-07	1.00
N	2021-07-07	2.00
NSP14	2021-07-07	1.00
NS3	2021-07-07	0.00
NSP15	2021-07-07	1.00
NSP16	2021-07-07	0.00
NS9b	2021-07-07	0.00
NS6	2021-07-07	0.00
NS9c	2021-07-07	0.00
NSP1	2021-07-07	0.00
NSP2	2021-07-07	0.50
NS8	2021-07-07	1.50
NSP3	2021-07-07	2.00
NSP4	2021-07-09	0.00
E	2021-07-09	0.00
NS7a	2021-07-09	0.00
NSP5	2021-07-09	0.00
NS7b	2021-07-09	0.00
NSP6	2021-07-09	0.00
NSP7	2021-07-09	0.00
NSP8	2021-07-09	0.50
Spike	2021-07-09	3.50
NSP9	2021-07-09	0.00
NSP10	2021-07-09	0.00
NSP11	2021-07-09	0.00
NSP12	2021-07-09	1.00
M	2021-07-09	0.00
NSP13	2021-07-09	0.50
N	2021-07-09	2.00
NSP14	2021-07-09	0.50
NS3	2021-07-09	0.00
NSP15	2021-07-09	0.50
NSP16	2021-07-09	0.00
NS9b	2021-07-09	0.00
NS6	2021-07-09	0.00
NS9c	2021-07-09	0.00
NSP1	2021-07-09	0.00
NSP2	2021-07-09	0.50
NS8	2021-07-09	1.50
NSP3	2021-07-09	2.00
NSP4	2021-07-14	1.00
E	2021-07-14	0.00
NS7a	2021-07-14	0.00
NSP5	2021-07-14	0.00
NS7b	2021-07-14	0.50
NSP6	2021-07-14	0.50
NSP7	2021-07-14	0.00
NSP8	2021-07-14	0.00
Spike	2021-07-14	3.50
NSP9	2021-07-14	0.00
NSP10	2021-07-14	0.00
NSP11	2021-07-14	0.00
NSP12	2021-07-14	1.00
M	2021-07-14	0.50
NSP13	2021-07-14	0.50
N	2021-07-14	2.00
NSP14	2021-07-14	0.50
NS3	2021-07-14	0.50
NSP15	2021-07-14	0.00
NSP16	2021-07-14	0.00
NS9b	2021-07-14	0.00
NS6	2021-07-14	0.00
NS9c	2021-07-14	0.00
NSP1	2021-07-14	0.00
NSP2	2021-07-14	0.00
NS8	2021-07-14	0.00
NSP3	2021-07-14	2.00
NSP4	2021-07-19	0.00
E	2021-07-19	0.00
NS7a	2021-07-19	0.00
NSP5	2021-07-19	0.00
NS7b	2021-07-19	0.00
NSP6	2021-07-19	0.00
NSP7	2021-07-19	0.00
NSP8	2021-07-19	1.00
Spike	2021-07-19	7.50
NSP9	2021-07-19	0.00
NSP10	2021-07-19	0.00
NSP11	2021-07-19	0.00
NSP12	2021-07-19	1.50
M	2021-07-19	0.00
NSP13	2021-07-19	1.50
N	2021-07-19	4.00
NSP14	2021-07-19	0.00
NS3	2021-07-19	0.00
NSP15	2021-07-19	1.00
NSP16	2021-07-19	0.50
NS9b	2021-07-19	0.00
NS6	2021-07-19	0.00
NS9c	2021-07-19	0.00
NSP1	2021-07-19	0.00
NSP2	2021-07-19	1.00
NS8	2021-07-19	3.00
NSP3	2021-07-19	3.50
NSP4	2021-07-25	1.00
E	2021-07-25	0.00
NS7a	2021-07-25	0.00
NSP5	2021-07-25	0.00
NS7b	2021-07-25	0.50
NSP6	2021-07-25	1.00
NSP7	2021-07-25	0.00
NSP8	2021-07-25	0.00
Spike	2021-07-25	3.00
NSP9	2021-07-25	0.00
NSP10	2021-07-25	0.00
NSP11	2021-07-25	0.00
NSP12	2021-07-25	1.00
M	2021-07-25	0.50
NSP13	2021-07-25	0.50
N	2021-07-25	0.50
NSP14	2021-07-25	0.50
NS3	2021-07-25	1.00
NSP15	2021-07-25	0.00
NSP16	2021-07-25	0.00
NS9b	2021-07-25	0.00
NS6	2021-07-25	0.00
NS9c	2021-07-25	0.00
NSP1	2021-07-25	0.00
NSP2	2021-07-25	0.00
NS8	2021-07-25	0.00
NSP3	2021-07-25	1.50
NSP4	2021-07-26	1.00
E	2021-07-26	0.00
NS7a	2021-07-26	0.00
NSP5	2021-07-26	0.00
NS7b	2021-07-26	0.50
NSP6	2021-07-26	1.00
NSP7	2021-07-26	0.00
NSP8	2021-07-26	0.50
Spike	2021-07-26	7.00
NSP9	2021-07-26	0.50
NSP10	2021-07-26	0.00
NSP11	2021-07-26	0.00
NSP12	2021-07-26	2.00
M	2021-07-26	0.50
NSP13	2021-07-26	2.00
N	2021-07-26	4.00
NSP14	2021-07-26	0.50
NS3	2021-07-26	0.50
NSP15	2021-07-26	0.50
NSP16	2021-07-26	0.00
NS9b	2021-07-26	0.00
NS6	2021-07-26	0.00
NS9c	2021-07-26	0.00
NSP1	2021-07-26	0.00
NSP2	2021-07-26	0.50
NS8	2021-07-26	1.50
NSP3	2021-07-26	3.50
NSP4	2021-07-26	1.00
E	2021-07-26	0.00
NS7a	2021-07-26	0.50
NSP5	2021-07-26	0.00
NS7b	2021-07-26	0.50
NSP6	2021-07-26	0.50
NSP7	2021-07-26	0.00
NSP8	2021-07-26	0.50
Spike	2021-07-26	8.00
NSP9	2021-07-26	0.00
NSP10	2021-07-26	0.00
NSP11	2021-07-26	0.00
NSP12	2021-07-26	1.50
M	2021-07-26	0.50
NSP13	2021-07-26	1.00
N	2021-07-26	4.50
NSP14	2021-07-26	0.50
NS3	2021-07-26	0.50
NSP15	2021-07-26	0.50
NSP16	2021-07-26	0.00
NS9b	2021-07-26	0.00
NS6	2021-07-26	0.00
NS9c	2021-07-26	0.00
NSP1	2021-07-26	0.00
NSP2	2021-07-26	0.50
NS8	2021-07-26	1.50
NSP3	2021-07-26	3.00
