protein	date	y
NS6	2021-04-14	0.50
NS9c	2021-04-14	0.00
NSP1	2021-04-14	0.00
NSP2	2021-04-14	0.00
NS8	2021-04-14	2.00
NSP3	2021-04-14	1.50
NSP4	2021-04-15	0.50
E	2021-04-15	0.00
NS7a	2021-04-15	0.00
NSP5	2021-04-15	0.00
NS7b	2021-04-15	0.00
NSP6	2021-04-15	1.00
NSP7	2021-04-15	0.00
NSP8	2021-04-15	0.00
Spike	2021-04-15	2.50
NSP9	2021-04-15	0.00
NSP10	2021-04-15	0.00
NSP11	2021-04-15	0.00
NSP12	2021-04-15	1.00
M	2021-04-15	0.50
NSP13	2021-04-15	0.50
N	2021-04-15	1.00
NSP14	2021-04-15	0.00
NS3	2021-04-15	0.50
NSP15	2021-04-15	0.00
NSP16	2021-04-15	0.00
NS9b	2021-04-15	0.00
NS6	2021-04-15	0.00
NS9c	2021-04-15	0.00
NSP1	2021-04-15	0.00
NSP2	2021-04-15	0.50
NS8	2021-04-15	0.00
NSP3	2021-04-15	1.00
NSP4	2021-04-19	1.00
E	2021-04-19	0.00
NS7a	2021-04-19	1.00
NSP5	2021-04-19	0.00
NS7b	2021-04-19	0.00
NSP6	2021-04-19	2.00
NSP7	2021-04-19	0.00
NSP8	2021-04-19	0.00
Spike	2021-04-19	6.50
NSP9	2021-04-19	0.00
NSP10	2021-04-19	0.00
NSP11	2021-04-19	0.00
NSP12	2021-04-19	2.00
M	2021-04-19	1.00
NSP13	2021-04-19	1.00
N	2021-04-19	2.00
NSP14	2021-04-19	0.00
NS3	2021-04-19	1.00
NSP15	2021-04-19	0.00
NSP16	2021-04-19	0.00
NS9b	2021-04-19	0.00
NS6	2021-04-19	0.00
NS9c	2021-04-19	0.00
NSP1	2021-04-19	0.00
NSP2	2021-04-19	1.00
NS8	2021-04-19	0.00
NSP3	2021-04-19	1.00
NSP4	2021-04-20	0.50
E	2021-04-20	0.00
NS7a	2021-04-20	1.00
NSP5	2021-04-20	0.00
NS7b	2021-04-20	0.00
NSP6	2021-04-20	1.00
NSP7	2021-04-20	0.00
NSP8	2021-04-20	0.00
Spike	2021-04-20	3.50
NSP9	2021-04-20	0.00
NSP10	2021-04-20	0.00
NSP11	2021-04-20	0.00
NSP12	2021-04-20	1.00
M	2021-04-20	0.50
NSP13	2021-04-20	1.00
N	2021-04-20	1.50
NSP14	2021-04-20	0.00
NS3	2021-04-20	0.50
NSP15	2021-04-20	0.00
NSP16	2021-04-20	0.00
NS9b	2021-04-20	0.00
NS6	2021-04-20	0.00
NS9c	2021-04-20	0.00
NSP1	2021-04-20	0.00
NSP2	2021-04-20	0.00
NS8	2021-04-20	0.00
NSP3	2021-04-20	0.50
NSP4	2021-04-22	0.50
E	2021-04-22	0.00
NS7a	2021-04-22	0.00
NSP5	2021-04-22	0.00
NS7b	2021-04-22	0.00
NSP6	2021-04-22	0.50
NSP7	2021-04-22	0.00
NSP8	2021-04-22	0.00
Spike	2021-04-22	2.00
NSP9	2021-04-22	0.00
NSP10	2021-04-22	0.00
NSP11	2021-04-22	0.00
NSP12	2021-04-22	0.50
M	2021-04-22	1.00
NSP13	2021-04-22	0.00
N	2021-04-22	1.50
NSP14	2021-04-22	1.00
NS3	2021-04-22	0.50
NSP15	2021-04-22	0.00
NSP16	2021-04-22	0.00
NS9b	2021-04-22	0.00
NS6	2021-04-22	0.00
NS9c	2021-04-22	0.00
NSP1	2021-04-22	0.00
NSP2	2021-04-22	0.50
NS8	2021-04-22	0.00
NSP3	2021-04-22	1.50
NSP4	2021-04-27	0.50
E	2021-04-27	0.00
NS7a	2021-04-27	0.00
NSP5	2021-04-27	0.00
NS7b	2021-04-27	0.00
NSP6	2021-04-27	1.00
NSP7	2021-04-27	0.00
NSP8	2021-04-27	0.00
Spike	2021-04-27	3.50
NSP9	2021-04-27	0.00
NSP10	2021-04-27	0.00
NSP11	2021-04-27	0.00
NSP12	2021-04-27	1.00
M	2021-04-27	0.50
NSP13	2021-04-27	0.50
N	2021-04-27	1.00
NSP14	2021-04-27	0.00
NS3	2021-04-27	0.50
NSP15	2021-04-27	0.00
NSP16	2021-04-27	0.00
NS9b	2021-04-27	0.00
NS6	2021-04-27	0.00
NS9c	2021-04-27	0.00
NSP1	2021-04-27	0.00
NSP2	2021-04-27	0.00
NS8	2021-04-27	0.00
NSP3	2021-04-27	0.50
NSP4	2021-04-28	0.50
E	2021-04-28	0.00
NS7a	2021-04-28	0.00
NSP5	2021-04-28	0.00
NS7b	2021-04-28	0.00
NSP6	2021-04-28	0.50
NSP7	2021-04-28	0.00
NSP8	2021-04-28	0.00
Spike	2021-04-28	0.50
NSP9	2021-04-28	0.00
NSP10	2021-04-28	0.00
NSP11	2021-04-28	0.00
NSP12	2021-04-28	0.50
M	2021-04-28	0.50
NSP13	2021-04-28	0.00
N	2021-04-28	0.50
NSP14	2021-04-28	0.50
NS3	2021-04-28	0.00
NSP15	2021-04-28	0.00
NSP16	2021-04-28	0.00
NS9b	2021-04-28	0.00
NS6	2021-04-28	0.00
NS9c	2021-04-28	0.00
NSP1	2021-04-28	0.00
NSP2	2021-04-28	0.00
NS8	2021-04-28	0.00
NSP3	2021-04-28	0.50
NSP4	2021-04-29	0.50
E	2021-04-29	0.00
NS7a	2021-04-29	0.00
NSP5	2021-04-29	0.00
NS7b	2021-04-29	0.00
NSP6	2021-04-29	1.00
NSP7	2021-04-29	0.00
NSP8	2021-04-29	0.00
Spike	2021-04-29	3.50
NSP9	2021-04-29	0.00
NSP10	2021-04-29	0.00
NSP11	2021-04-29	0.00
NSP12	2021-04-29	1.00
M	2021-04-29	0.50
NSP13	2021-04-29	0.50
N	2021-04-29	1.00
NSP14	2021-04-29	0.00
NS3	2021-04-29	0.50
NSP15	2021-04-29	0.00
NSP16	2021-04-29	0.00
NS9b	2021-04-29	0.00
NS6	2021-04-29	0.00
NS9c	2021-04-29	0.00
NSP1	2021-04-29	0.00
NSP2	2021-04-29	0.00
NS8	2021-04-29	0.00
NSP3	2021-04-29	0.50
NSP4	2021-04-30	1.00
E	2021-04-30	0.00
NS7a	2021-04-30	0.00
NSP5	2021-04-30	0.00
NS7b	2021-04-30	0.00
NSP6	2021-04-30	1.00
NSP7	2021-04-30	0.00
NSP8	2021-04-30	0.00
Spike	2021-04-30	1.00
NSP9	2021-04-30	0.00
NSP10	2021-04-30	0.00
NSP11	2021-04-30	0.00
NSP12	2021-04-30	1.00
M	2021-04-30	1.00
NSP13	2021-04-30	0.00
N	2021-04-30	1.00
NSP14	2021-04-30	0.00
NS3	2021-04-30	1.00
NSP15	2021-04-30	0.00
NSP16	2021-04-30	0.00
NS9b	2021-04-30	0.00
NS6	2021-04-30	0.00
NS9c	2021-04-30	0.00
NSP1	2021-04-30	0.00
NSP2	2021-04-30	0.00
NS8	2021-04-30	0.00
NSP3	2021-04-30	1.00
NSP4	2021-05-01	2.00
E	2021-05-01	0.00
NS7a	2021-05-01	1.00
NSP5	2021-05-01	0.00
NS7b	2021-05-01	1.00
NSP6	2021-05-01	1.00
NSP7	2021-05-01	0.00
NSP8	2021-05-01	0.00
Spike	2021-05-01	8.00
NSP9	2021-05-01	0.00
NSP10	2021-05-01	0.00
NSP11	2021-05-01	0.00
NSP12	2021-05-01	2.00
M	2021-05-01	1.00
NSP13	2021-05-01	1.00
N	2021-05-01	3.00
NSP14	2021-05-01	1.00
NS3	2021-05-01	1.00
NSP15	2021-05-01	0.00
NSP16	2021-05-01	0.00
NS9b	2021-05-01	0.00
NS6	2021-05-01	0.00
NS9c	2021-05-01	0.00
NSP1	2021-05-01	0.00
NSP2	2021-05-01	0.00
NS8	2021-05-01	0.00
NSP3	2021-05-01	3.00
NSP4	2021-05-02	1.00
E	2021-05-02	0.00
NS7a	2021-05-02	1.00
NSP5	2021-05-02	0.00
NS7b	2021-05-02	0.50
NSP6	2021-05-02	1.50
NSP7	2021-05-02	0.00
NSP8	2021-05-02	0.00
Spike	2021-05-02	4.00
NSP9	2021-05-02	0.00
NSP10	2021-05-02	0.00
NSP11	2021-05-02	0.00
NSP12	2021-05-02	1.50
M	2021-05-02	1.00
NSP13	2021-05-02	0.50
N	2021-05-02	1.50
NSP14	2021-05-02	0.50
NS3	2021-05-02	0.50
NSP15	2021-05-02	0.00
NSP16	2021-05-02	0.00
NS9b	2021-05-02	0.00
NS6	2021-05-02	0.00
NS9c	2021-05-02	0.00
NSP1	2021-05-02	0.00
NSP2	2021-05-02	0.00
NS8	2021-05-02	0.00
NSP3	2021-05-02	1.00
NSP4	2021-05-03	1.00
E	2021-05-03	0.00
NS7a	2021-05-03	0.00
NSP5	2021-05-03	0.00
NS7b	2021-05-03	1.00
NSP6	2021-05-03	1.00
NSP7	2021-05-03	0.00
NSP8	2021-05-03	0.00
Spike	2021-05-03	5.00
NSP9	2021-05-03	0.00
NSP10	2021-05-03	0.00
NSP11	2021-05-03	0.00
NSP12	2021-05-03	2.00
M	2021-05-03	1.00
NSP13	2021-05-03	0.00
N	2021-05-03	2.00
NSP14	2021-05-03	0.00
NS3	2021-05-03	1.00
NSP15	2021-05-03	0.00
NSP16	2021-05-03	0.00
NS9b	2021-05-03	0.00
NS6	2021-05-03	0.00
NS9c	2021-05-03	0.00
NSP1	2021-05-03	0.00
NSP2	2021-05-03	1.00
NS8	2021-05-03	0.00
NSP3	2021-05-03	4.00
NSP4	2021-05-04	0.50
E	2021-05-04	0.00
NS7a	2021-05-04	1.00
NSP5	2021-05-04	0.00
NS7b	2021-05-04	0.00
NSP6	2021-05-04	0.50
NSP7	2021-05-04	0.00
NSP8	2021-05-04	0.00
