protein	date	y
NSP1	2021-05-19	0.00
NSP2	2021-05-19	0.50
NS8	2021-05-19	0.50
NSP3	2021-05-19	2.50
NSP4	2021-05-20	1.50
E	2021-05-20	0.00
NS7a	2021-05-20	0.50
NSP5	2021-05-20	0.00
NS7b	2021-05-20	0.50
NSP6	2021-05-20	0.00
NSP7	2021-05-20	0.00
NSP8	2021-05-20	0.00
Spike	2021-05-20	11.00
NSP9	2021-05-20	0.00
NSP10	2021-05-20	1.00
NSP11	2021-05-20	0.00
NSP12	2021-05-20	1.50
M	2021-05-20	0.00
NSP13	2021-05-20	1.00
N	2021-05-20	3.00
NSP14	2021-05-20	0.00
NS3	2021-05-20	1.00
NSP15	2021-05-20	0.00
NSP16	2021-05-20	0.00
NS9b	2021-05-20	0.00
NS6	2021-05-20	0.00
NS9c	2021-05-20	0.00
NSP1	2021-05-20	0.00
NSP2	2021-05-20	0.50
NS8	2021-05-20	1.00
NSP3	2021-05-20	3.00
NSP4	2021-05-27	2.50
E	2021-05-27	0.00
NS7a	2021-05-27	0.50
NSP5	2021-05-27	0.00
NS7b	2021-05-27	0.50
NSP6	2021-05-27	0.50
NSP7	2021-05-27	0.00
NSP8	2021-05-27	0.50
Spike	2021-05-27	6.00
NSP9	2021-05-27	0.00
NSP10	2021-05-27	0.00
NSP11	2021-05-27	0.00
NSP12	2021-05-27	1.50
M	2021-05-27	0.50
NSP13	2021-05-27	1.00
N	2021-05-27	3.50
NSP14	2021-05-27	0.50
NS3	2021-05-27	2.00
NSP15	2021-05-27	0.00
NSP16	2021-05-27	0.00
NS9b	2021-05-27	0.00
NS6	2021-05-27	0.00
NS9c	2021-05-27	0.00
NSP1	2021-05-27	0.50
NSP2	2021-05-27	0.00
NS8	2021-05-27	1.00
NSP3	2021-05-27	2.50
NSP4	2021-06-07	2.00
E	2021-06-07	0.00
NS7a	2021-06-07	0.00
NSP5	2021-06-07	0.00
NS7b	2021-06-07	0.00
NSP6	2021-06-07	1.00
NSP7	2021-06-07	0.00
NSP8	2021-06-07	0.00
Spike	2021-06-07	3.00
NSP9	2021-06-07	0.00
NSP10	2021-06-07	0.00
NSP11	2021-06-07	0.00
NSP12	2021-06-07	1.00
M	2021-06-07	1.00
NSP13	2021-06-07	1.00
N	2021-06-07	4.00
NSP14	2021-06-07	0.00
NS3	2021-06-07	3.00
NSP15	2021-06-07	0.00
NSP16	2021-06-07	0.00
NS9b	2021-06-07	0.00
NS6	2021-06-07	0.00
NS9c	2021-06-07	0.00
NSP1	2021-06-07	1.00
NSP2	2021-06-07	0.00
NS8	2021-06-07	1.00
NSP3	2021-06-07	2.00
NSP4	2021-06-08	3.50
E	2021-06-08	0.00
NS7a	2021-06-08	0.00
NSP5	2021-06-08	0.50
NS7b	2021-06-08	0.50
NSP6	2021-06-08	0.00
NSP7	2021-06-08	0.00
NSP8	2021-06-08	0.00
Spike	2021-06-08	8.50
NSP9	2021-06-08	0.00
NSP10	2021-06-08	0.00
NSP11	2021-06-08	0.00
NSP12	2021-06-08	2.50
M	2021-06-08	0.50
NSP13	2021-06-08	1.00
N	2021-06-08	1.50
NSP14	2021-06-08	0.00
NS3	2021-06-08	1.00
NSP15	2021-06-08	0.00
NSP16	2021-06-08	0.50
NS9b	2021-06-08	0.00
NS6	2021-06-08	0.00
NS9c	2021-06-08	0.00
NSP1	2021-06-08	0.00
NSP2	2021-06-08	0.50
NS8	2021-06-08	1.00
NSP3	2021-06-08	3.00
NSP4	2021-06-09	3.00
E	2021-06-09	0.00
NS7a	2021-06-09	0.00
NSP5	2021-06-09	0.00
NS7b	2021-06-09	1.00
NSP6	2021-06-09	1.00
NSP7	2021-06-09	0.00
NSP8	2021-06-09	0.00
Spike	2021-06-09	9.00
NSP9	2021-06-09	0.00
NSP10	2021-06-09	0.00
NSP11	2021-06-09	0.00
NSP12	2021-06-09	3.00
M	2021-06-09	0.00
NSP13	2021-06-09	1.00
N	2021-06-09	2.00
NSP14	2021-06-09	0.00
NS3	2021-06-09	1.00
NSP15	2021-06-09	0.00
NSP16	2021-06-09	0.00
NS9b	2021-06-09	0.00
NS6	2021-06-09	0.00
NS9c	2021-06-09	0.00
NSP1	2021-06-09	0.00
NSP2	2021-06-09	0.00
NS8	2021-06-09	1.00
NSP3	2021-06-09	3.00
NSP4	2021-06-10	3.00
E	2021-06-10	0.00
NS7a	2021-06-10	0.00
NSP5	2021-06-10	0.00
NS7b	2021-06-10	1.00
NSP6	2021-06-10	0.00
NSP7	2021-06-10	0.00
NSP8	2021-06-10	0.00
Spike	2021-06-10	11.00
NSP9	2021-06-10	0.00
NSP10	2021-06-10	0.00
NSP11	2021-06-10	0.00
NSP12	2021-06-10	2.50
M	2021-06-10	0.00
NSP13	2021-06-10	1.00
N	2021-06-10	2.00
NSP14	2021-06-10	0.00
NS3	2021-06-10	1.00
NSP15	2021-06-10	0.00
NSP16	2021-06-10	0.00
NS9b	2021-06-10	0.00
NS6	2021-06-10	0.00
NS9c	2021-06-10	0.00
NSP1	2021-06-10	0.00
NSP2	2021-06-10	0.00
NS8	2021-06-10	1.00
NSP3	2021-06-10	4.00
NSP4	2021-06-11	3.00
E	2021-06-11	0.00
NS7a	2021-06-11	0.00
NSP5	2021-06-11	0.00
NS7b	2021-06-11	1.00
NSP6	2021-06-11	0.00
